,epmc_id,source,datalink_ID,datalink_IDScheme,datalink_IDURL,datalink_Category
52,41479581,MED,OP161128,ENA,http://identifiers.org/ebi/ena.embl:OP161128,Nucleotide Sequences
53,41479581,MED,OP019749,ENA,http://identifiers.org/ebi/ena.embl:OP019749,Nucleotide Sequences
54,41479581,MED,OP161117,ENA,http://identifiers.org/ebi/ena.embl:OP161117,Nucleotide Sequences
55,41479581,MED,OP161114,ENA,http://identifiers.org/ebi/ena.embl:OP161114,Nucleotide Sequences
56,41479581,MED,OP113134,ENA,http://identifiers.org/ebi/ena.embl:OP113134,Nucleotide Sequences
57,41479581,MED,OP019741,ENA,http://identifiers.org/ebi/ena.embl:OP019741,Nucleotide Sequences
66,41233552,MED,CP073074,ENA,http://identifiers.org/ebi/ena.embl:CP073074,Nucleotide Sequences
72,38271627,MED,SRP471055,ENA,http://www.ebi.ac.uk/ena/data/view/SRP471055,Nucleotide Sequences
73,38271627,MED,PRJNA1037470,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA1037470,Nucleotide Sequences
81,38318864,MED,PRJNA626361,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA626361,Nucleotide Sequences
82,38318864,MED,SRP257242,ENA,http://www.ebi.ac.uk/ena/data/view/SRP257242,Nucleotide Sequences
112,39850030,MED,SRP057970,ENA,http://identifiers.org/ebi/ena.embl:SRP057970,Nucleotide Sequences
114,39653778,MED,AC022431,ENA,http://identifiers.org/ebi/ena.embl:AC022431,Nucleotide Sequences
117,39160179,MED,SRP499056,ENA,http://www.ebi.ac.uk/ena/data/view/SRP499056,Nucleotide Sequences
118,39160179,MED,PRJNA1094972,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA1094972,Nucleotide Sequences
161,35526671,MED,SRP321750,ENA,http://www.ebi.ac.uk/ena/data/view/SRP321750,Nucleotide Sequences
162,35526671,MED,PRJNA733336,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA733336,Nucleotide Sequences
165,36701416,MED,SRP398120,ENA,http://www.ebi.ac.uk/ena/data/view/SRP398120,Nucleotide Sequences
166,36701416,MED,PRJNA882083,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA882083,Nucleotide Sequences
171,38049447,MED,PRJNA1023911,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA1023911,Nucleotide Sequences
225,35731891,MED,PRJNA794730,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA794730,Nucleotide Sequences
226,35731891,MED,SRP353346,ENA,http://www.ebi.ac.uk/ena/data/view/SRP353346,Nucleotide Sequences
227,35731891,MED,PRJNA824585,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA824585,Nucleotide Sequences
228,35731891,MED,PRJNA794357,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA794357,Nucleotide Sequences
229,35731891,MED,PRJNA794736,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA794736,Nucleotide Sequences
230,35731891,MED,SRP353616,ENA,http://www.ebi.ac.uk/ena/data/view/SRP353616,Nucleotide Sequences
231,35731891,MED,SRP353609,ENA,http://www.ebi.ac.uk/ena/data/view/SRP353609,Nucleotide Sequences
232,35731891,MED,PRJNA793895,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA793895,Nucleotide Sequences
244,32322884,MED,PRJNA528490,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA528490,Nucleotide Sequences
252,33558530,MED,SRP291446,ENA,http://www.ebi.ac.uk/ena/data/view/SRP291446,Nucleotide Sequences
253,33558530,MED,PRJNA675090,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA675090,Nucleotide Sequences
254,40893937,MED,GCST90199621,ENA,http://identifiers.org/ebi/ena.embl:GCST90199621,Nucleotide Sequences
269,38337709,MED,PRJNA622780,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA622780,Nucleotide Sequences
273,34806748,MED,SRP285298,ENA,http://www.ebi.ac.uk/ena/data/view/SRP285298,Nucleotide Sequences
274,34806748,MED,PRJNA665508,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA665508,Nucleotide Sequences
278,35933472,MED,PRJNA629369,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA629369,Nucleotide Sequences
279,35933472,MED,PRJNA714602,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA714602,Nucleotide Sequences
280,35933472,MED,SRP310667,ENA,http://www.ebi.ac.uk/ena/data/view/SRP310667,Nucleotide Sequences
283,33436736,MED,PRJNA610580,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA610580,Nucleotide Sequences
284,33436736,MED,SRP251715,ENA,http://www.ebi.ac.uk/ena/data/view/SRP251715,Nucleotide Sequences
303,39703441,MED,J03890,ENA,http://identifiers.org/ebi/ena.embl:J03890,Nucleotide Sequences
314,37760879,MED,AB209021,ENA,http://identifiers.org/ebi/ena.embl:AB209021,Nucleotide Sequences
315,37760879,MED,AF264622,ENA,http://identifiers.org/ebi/ena.embl:AF264622,Nucleotide Sequences
336,34437303,MED,PRJNA746233,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA746233,Nucleotide Sequences
337,34437303,MED,SRP328149,ENA,http://www.ebi.ac.uk/ena/data/view/SRP328149,Nucleotide Sequences
341,37091138,MED,PRJNA255873,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA255873,Nucleotide Sequences
372,34440652,MED,PRJEB46457,ENA,http://www.ebi.ac.uk/ena/data/view/PRJEB46457,Nucleotide Sequences
373,34440652,MED,ERP130642,ENA,http://www.ebi.ac.uk/ena/data/view/ERP130642,Nucleotide Sequences
374,37870985,MED,MT705206,ENA,http://identifiers.org/ebi/ena.embl:MT705206,Nucleotide Sequences
400,37587191,MED,PRJNA928456,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA928456,Nucleotide Sequences
421,32616761,MED,PRJNA640519,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA640519,Nucleotide Sequences
422,32616761,MED,SRP267949,ENA,http://www.ebi.ac.uk/ena/data/view/SRP267949,Nucleotide Sequences
424,38737240,MED,MF352141,ENA,http://identifiers.org/ebi/ena.embl:MF352141,Nucleotide Sequences
431,37681020,MED,X02763,ENA,http://identifiers.org/ebi/ena.embl:X02763,Nucleotide Sequences
433,36415047,MED,AC073593,ENA,http://identifiers.org/ebi/ena.embl:AC073593,Nucleotide Sequences
434,36415047,MED,AC126309,ENA,http://identifiers.org/ebi/ena.embl:AC126309,Nucleotide Sequences
441,31504629,MED,SRP189506,ENA,http://www.ebi.ac.uk/ena/data/view/SRP189506,Nucleotide Sequences
442,31504629,MED,PRJNA529238,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA529238,Nucleotide Sequences
443,33509158,MED,AC037198,ENA,http://identifiers.org/ebi/ena.embl:AC037198,Nucleotide Sequences
444,33509158,MED,PRJNA689555,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA689555,Nucleotide Sequences
445,33509158,MED,SRP300213,ENA,http://www.ebi.ac.uk/ena/data/view/SRP300213,Nucleotide Sequences
493,28081703,MED,PRJNA326784,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA326784,Nucleotide Sequences
494,28081703,MED,SRP077072,ENA,http://www.ebi.ac.uk/ena/data/view/SRP077072,Nucleotide Sequences
509,29423032,MED,PRJNA527257,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA527257,Nucleotide Sequences
510,29423032,MED,SRP188526,ENA,http://www.ebi.ac.uk/ena/data/view/SRP188526,Nucleotide Sequences
514,33511305,MED,SRP238249,ENA,http://www.ebi.ac.uk/ena/data/view/SRP238249,Nucleotide Sequences
515,33511305,MED,PRJNA596759,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA596759,Nucleotide Sequences
517,30168613,MED,AK055957,ENA,http://identifiers.org/ebi/ena.embl:AK055957,Nucleotide Sequences
537,34047270,MED,CP000647,ENA,http://identifiers.org/ebi/ena.embl:CP000647,Nucleotide Sequences
542,33630849,MED,PRJNA684138,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA684138,Nucleotide Sequences
552,31617731,MED,PRJNA544953,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA544953,Nucleotide Sequences
570,29794131,MED,SRP125001,ENA,http://www.ebi.ac.uk/ena/data/view/SRP125001,Nucleotide Sequences
571,29794131,MED,PRJNA418402,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA418402,Nucleotide Sequences
582,32904132,MED,AB014360,ENA,http://identifiers.org/ebi/ena.embl:AB014360,Nucleotide Sequences
583,32904132,MED,AB048701,ENA,http://identifiers.org/ebi/ena.embl:AB048701,Nucleotide Sequences
584,32904132,MED,AB036905,ENA,http://identifiers.org/ebi/ena.embl:AB036905,Nucleotide Sequences
585,32904132,MED,AB010289,ENA,http://identifiers.org/ebi/ena.embl:AB010289,Nucleotide Sequences
